Genes;PT186rna;T15NFREE;T45NFREE;NFREE;TENDNFREE;T15NH4;T45NH4;NH4;TENDNH4;T15NO2;T45NO2;TENDNO2;T15NO3;T45NO3;NO3SPIKE;TENDNO3;PT3OVvsPT3OVrna;Pt8Tc-Pt8TcRNAseq;PTCRvsPTCRrna;Total
Phatr3_J34592;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
Phatr3_J34746;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Phatr3_J35135;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
Phatr3_J35464;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
Phatr3_J35694;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2
Phatr3_J36084;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;2
Phatr3_J36424;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;4
Phatr3_J36990;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
Phatr3_J37136;1;1;1;0;1;0;1;1;1;0;1;0;1;1;1;1;1;0;0;13
Phatr3_J37223;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;16
Phatr3_J37283;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Phatr3_J37595;0;1;1;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;5
Phatr3_J37840;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;5
Phatr3_J37853;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
Phatr3_J37941;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Phatr3_J38018;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
Phatr3_J38409;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
Phatr3_J38410;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
Phatr3_J38511;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
Phatr3_J38802;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
Phatr3_J38865;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
Phatr3_J38924;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
Phatr3_J38928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
Phatr3_J39214;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
Phatr3_J3940;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
Phatr3_J39769;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
Phatr3_J40877;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Phatr3_J41011;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
Phatr3_J41038;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
Phatr3_J41302;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
